sample_id,species,microscope,experiment,Epidermis_IoU,Epidermis_Dice,Exodermis_IoU,Exodermis_Dice,Cortex_IoU,Cortex_Dice,Aerenchyma_IoU,Aerenchyma_Dice,Endodermis_IoU,Endodermis_Dice,Vascular_IoU,Vascular_Dice,mean_IoU,mean_Dice,split
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_06,Rice,Olympus,Exp10,0.1203,0.2148,0.0367,0.0708,0.821,0.9017,0.3884,0.5595,0.9241,0.9606,0.9821,0.991,0.5454,0.6164,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_05,Rice,Olympus,Exp10,0.1773,0.3012,0.0077,0.0153,0.7963,0.8866,0.7107,0.8309,0.8195,0.9008,0.9712,0.9854,0.5805,0.6534,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_01,Rice,Olympus,Exp10,0.3543,0.5232,0.1138,0.2043,0.8306,0.9075,0.3574,0.5266,0.903,0.949,0.9776,0.9887,0.5894,0.6832,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_03,Rice,Olympus,Exp10,0.2479,0.3974,0.0594,0.1121,0.8313,0.9079,0.5781,0.7327,0.9305,0.964,0.9816,0.9907,0.6048,0.6841,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_04,Rice,Olympus,Exp10,0.2198,0.3604,0.064,0.1203,0.7772,0.8746,0.7196,0.8369,0.9208,0.9588,0.9808,0.9903,0.6137,0.6902,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_02,Rice,Olympus,Exp10,0.4398,0.6109,0.1247,0.2218,0.8196,0.9009,0.6869,0.8144,0.9151,0.9557,0.9768,0.9883,0.6605,0.7487,test
Sorghum_Olympus_Exp71_PDB134_04,Sorghum,Olympus,Exp71,0.5809,0.7349,0.1895,0.3186,0.6706,0.8028,0.6962,0.8209,0.8375,0.9116,0.9766,0.9882,0.6585,0.7628,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_04,Rice,Olympus,Exp10,0.3024,0.4644,0.2347,0.3801,0.8968,0.9456,0.703,0.8256,0.8795,0.9359,0.9765,0.9881,0.6655,0.7566,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_05,Rice,Olympus,Exp10,0.5268,0.6901,0.2435,0.3916,0.8965,0.9454,0.677,0.8074,0.9323,0.965,0.9829,0.9914,0.7098,0.7985,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_04,Rice,Olympus,Exp10,0.9038,0.9495,0.8928,0.9434,0.9706,0.9851,0.1282,0.2273,0.7156,0.8342,0.9042,0.9497,0.7525,0.8149,test
Millet_Olympus_Exp6_5-6cm__54,Millet,Olympus,Exp6,0.7533,0.8593,0.8762,0.934,0.9618,0.9805,0.004,0.008,0.9561,0.9776,0.9913,0.9956,0.7571,0.7925,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_02,Rice,Olympus,Exp10,0.6209,0.7661,0.3882,0.5593,0.9277,0.9625,0.7952,0.8859,0.8822,0.9374,0.9743,0.987,0.7648,0.8497,test
Millet_Olympus_Exp2_5-6cm_79,Millet,Olympus,Exp2,0.8671,0.9288,0.8672,0.9289,0.9519,0.9753,0.0076,0.0151,0.9231,0.96,0.9839,0.9919,0.7668,0.8000,test
Millet_Olympus_Exp4_1-2cm__106,Millet,Olympus,Exp4,0.8515,0.9198,0.948,0.9733,0.9682,0.9838,0.0,0.0,0.8856,0.9393,0.9705,0.985,0.7706,0.8002,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_01,Rice,Olympus,Exp10,0.9339,0.9658,0.9155,0.9559,0.9748,0.9872,0.0,0.0,0.8167,0.8991,0.9767,0.9882,0.7696,0.7994,test
Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_03,Rice,Olympus,Exp10,0.5661,0.723,0.4028,0.5742,0.93,0.9637,0.8765,0.9342,0.911,0.9534,0.9812,0.9905,0.7779,0.8565,test
Sorghum_Olympus_Exp16_2_02,Sorghum,Olympus,Exp16,0.7615,0.8646,0.8729,0.9321,0.9679,0.9837,0.1544,0.2676,0.9436,0.971,0.9902,0.9951,0.7817,0.8357,test
Millet_Olympus_Exp6_5-6cm__48,Millet,Olympus,Exp6,0.8183,0.9001,0.9363,0.9671,0.9817,0.9908,0.0,0.0,0.9636,0.9815,0.9922,0.9961,0.7820,0.8059,test
Sorghum_Olympus_Exp94_LLC3456_09,Sorghum,Olympus,Exp94,0.875,0.9333,0.9059,0.9506,0.9867,0.9933,0.0,0.0,0.9374,0.9677,0.9935,0.9967,0.7831,0.8069,test
Sorghum_Olympus_Exp16_2_04,Sorghum,Olympus,Exp16,0.861,0.9253,0.9492,0.9739,0.9885,0.9942,0.0,0.0,0.9448,0.9716,0.9919,0.996,0.7892,0.8102,test
Millet_Olympus_Exp2_3-4cm__07,Millet,Olympus,Exp2,0.8714,0.9313,0.9277,0.9625,0.9771,0.9884,0.076,0.1413,0.9237,0.9603,0.9814,0.9906,0.7929,0.8291,test
Millet_Olympus_Exp2_5-6cm_51,Millet,Olympus,Exp2,0.8845,0.9387,0.9276,0.9624,0.9818,0.9908,0.0927,0.1697,0.9404,0.9693,0.9871,0.9935,0.8024,0.8374,test
Millet_Olympus_Exp4_1-2cm__02,Millet,Olympus,Exp4,0.7961,0.8865,0.8596,0.9245,0.9402,0.9692,0.3414,0.509,0.9136,0.9548,0.9777,0.9887,0.8048,0.8721,test
Millet_Olympus_Exp6_5-6cm__28,Millet,Olympus,Exp6,0.8582,0.9237,0.9138,0.9549,0.9768,0.9883,0.1332,0.2351,0.9605,0.9799,0.9912,0.9956,0.8056,0.8463,test
Millet_Olympus_Exp2_5-6cm_42,Millet,Olympus,Exp2,0.852,0.9201,0.9246,0.9608,0.9723,0.986,0.1668,0.286,0.9338,0.9658,0.9876,0.9937,0.8062,0.8521,test
Millet_Olympus_Exp2_9-10cm_19,Millet,Olympus,Exp2,0.7978,0.8875,0.8858,0.9394,0.984,0.992,0.2195,0.36,0.9531,0.976,0.9903,0.9951,0.8051,0.8583,test
Sorghum_Olympus_Exp71_PDB134_10,Sorghum,Olympus,Exp71,0.7927,0.8843,0.8305,0.9074,0.9851,0.9925,0.3791,0.5497,0.8915,0.9427,0.9883,0.9941,0.8112,0.8784,test
