group,sample_id,Unified,Monocot,Dicot
Monocots in - In-distribution Test,Millet_Olympus_Exp2_3-4cm__07,0.820571,0.829071,0.703714
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_04,0.876543,0.882586,0.740057
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_27,0.857743,0.858786,0.717671
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_41,0.861029,0.863671,0.736214
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_42,0.831743,0.837743,0.778686
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_51,0.829543,0.881371,0.743686
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_67,0.880029,0.894614,0.777700
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_74,0.841714,0.851729,0.681314
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_79,0.798371,0.800186,0.709471
Monocots in - In-distribution Test,Millet_Olympus_Exp2_5-6cm_89,0.868686,0.853129,0.745086
Monocots in - In-distribution Test,Millet_Olympus_Exp2_7-8cm_17,0.837043,0.864986,0.586457
Monocots in - In-distribution Test,Millet_Olympus_Exp2_9-10cm_19,0.831771,0.841457,0.661114
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__02,0.830871,0.851757,0.759429
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__08,0.839929,0.880643,0.794657
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__103,0.843000,0.839514,0.803471
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__106,0.801386,0.798257,0.764500
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__16,0.884643,0.875143,0.774014
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__17,0.951800,0.941200,0.900267
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__26,0.891243,0.854386,0.767343
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__37,0.863157,0.885729,0.772814
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__55,0.946986,0.946429,0.776871
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__63,0.914214,0.919800,0.741871
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__64,0.838871,0.836300,0.785843
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__72,0.907200,0.931986,0.762400
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__75,0.881971,0.883800,0.781043
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__81,0.898743,0.883500,0.755900
Monocots in - In-distribution Test,Millet_Olympus_Exp4_1-2cm__83,0.857600,0.860800,0.760657
Monocots in - In-distribution Test,Millet_Olympus_Exp6_5-6cm__28,0.831486,0.851414,0.564871
Monocots in - In-distribution Test,Millet_Olympus_Exp6_5-6cm__48,0.810371,0.804871,0.628271
Monocots in - In-distribution Test,Millet_Olympus_Exp6_5-6cm__54,0.787329,0.785300,0.591129
Monocots in - In-distribution Test,Millet_Olympus_Exp6_5-6cm__57,0.840200,0.868157,0.602600
