species,GT_aerenchyma_ratio,GT_exodermis_TRITC,GT_exodermis_FITC,GT_endodermis_TRITC,GT_endodermis_FITC,Pred_aerenchyma_ratio,Pred_exodermis_TRITC,Pred_exodermis_FITC,Pred_endodermis_TRITC,Pred_endodermis_FITC
Sorghum,0.04724,430.273987,2938.507812,8840.897461,22127.52734,0.063667,423.860443,2922.800049,8908.835938,22030.29883
Sorghum,0.055984,418.554413,3577.643799,10772.16406,16908.92773,0.060668,420.657166,3580.325928,10667.29688,16860.02344
Sorghum,0.185274,1045.447144,2581.516846,13194.62305,13871.91113,0.158517,1071.487183,2617.885742,12946.79492,13854.38867
Sorghum,0.123568,529.196411,1458.704956,10614.31348,12574.68555,0.129545,524.512634,1448.614136,10965.88379,12825.61816
Sorghum,0.426746,0.088432,0.201192,0.0,0.0,0.425723,0.091806,0.209801,0.0,0.0
Sorghum,0.107356,0.29075,0.227387,0.0,0.0,0.091318,0.30499,0.237067,0.0,0.0
Sorghum,0.337791,0.133227,0.196054,0.0,0.0,0.317188,0.139748,0.206766,0.0,0.0
Sorghum,0.0,0.18998,0.235738,0.0,0.0,0.0,0.209472,0.262623,0.0,0.0
Sorghum,0.02445,92.897507,257.660095,2035.063354,7391.481445,0.009452,93.351097,257.190643,2040.095337,7481.650879
Sorghum,0.01554,76.323059,171.018295,2033.895264,4747.239258,0.044271,75.546669,171.428665,2039.139282,4728.485352
Sorghum,0.014719,205.110779,334.143524,4303.267578,9414.507812,0.00102,207.918854,335.289124,4334.84668,9457.387695
Sorghum,0.105141,56.67017,81.809532,2959.432861,6281.174316,0.034159,60.075291,83.471436,3012.43457,6401.98584
Sorghum,0.044434,229.61409,73.321526,4236.80127,1271.891724,0.045631,230.930237,73.657921,4316.979004,1280.80481
Sorghum,0.153349,288.451569,130.448776,4801.663086,3845.591309,0.148709,290.71109,131.367615,4885.147461,3842.120605
Sorghum,0.183679,196.446991,159.141403,4717.955078,9151.268555,0.169532,198.961029,160.152557,4796.138672,9278.826172
Sorghum,0.110627,202.072067,166.021469,5265.205078,10982.48047,0.122559,206.588303,167.868317,5314.034668,11124.29785
Sorghum,0.202775,169.19548,242.17807,4896.034668,12726.93555,0.164205,177.19278,254.152481,4899.672852,12641.91016
Millet,0.005308,2651.763916,1224.023071,5548.314453,3616.074463,0.008373,2578.08252,1227.293945,5497.430664,3603.076172
Millet,0.096597,1766.554077,926.698242,4745.229492,5887.159668,0.082495,1712.339111,929.3526,4747.239258,6033.762695
Millet,0.071152,1637.864624,1151.251831,5943.821777,9953.676758,0.055564,1591.190674,1138.057129,5966.713379,10049.08301
Millet,0.085886,2151.899902,947.538452,5547.42041,5183.720703,0.027802,2139.75293,948.967834,5575.297363,5107.566895
Millet,0.051424,2504.538818,1057.94458,5641.941895,3714.415771,0.008461,2475.40332,1040.964233,5657.085938,3639.603516
Millet,0.060797,3305.719482,1330.414551,5067.736816,5271.288086,0.005731,3132.048096,1309.579102,5034.16748,5252.597168
Millet,0.10718,2615.147705,1297.432251,9897.948242,9264.332031,0.045328,2530.669189,1263.905151,9935.669922,9379.488281
Millet,0.027697,3144.331299,1750.178223,12397.66504,7209.181152,0.006011,3165.464844,1747.382202,12600.85742,7239.911133
Millet,0.010112,3000.032227,1363.514893,9548.942383,8586.290039,0.0,2968.838623,1451.264648,9704.179688,8599.370117
Millet,0.070772,3261.394287,2282.032715,10096.98242,12283.51758,0.032645,3205.330078,2281.994385,10109.41113,12343.70703
Millet,0.099311,1247.287476,1041.82251,6725.955566,8984.93457,0.040282,1257.47876,1066.995361,6611.872559,8798.803711
Millet,0.038857,1596.539185,1030.091431,8254.080078,6661.899414,0.037318,1597.546021,1005.40741,8214.710938,6558.125977
Millet,0.007485,3517.152344,2759.848633,6124.835449,2201.895996,0.002585,3445.419678,2713.149902,6357.882812,2130.524658
Millet,0.013539,3579.595215,2306.092529,5603.072266,3546.240967,0.001782,3500.227295,2318.153564,5572.310547,3672.675781
