Sample,Genotype,x_axis,Endodermis_TRITC_thresholded_raw_mean,Endodermis_FITC_thresholded_raw_mean,Exodermis_TRITC_thresholded_raw_mean,Exodermis_FITC_thresholded_raw_mean
1_01,1,1,1.215737231,1.342749693,1.067366167,1.14557432
1_02,1,1,1.065380016,1.062599687,1.022922123,1.109867036
1_03,1,1,1.142950977,1.20667188,1.026197034,1.159472683
1_04,1,1,1.168394237,1.516969664,0.937951123,1.034141518
1_05,1,1,1.06060418,1.098914755,1.029697332,1.165682504
1_06,1,1,0.918121556,1.073801384,1.005660732,1.082693118
11_01,11,11,0.970424832,0.953099465,1.837911733,1.347478726
11_02,11,11,1.074885408,1.050858858,0.96882807,1.049499836
11_04,11,11,0.807091976,0.873619997,1.325628738,1.15422283
11_05,11,11,0.94795373,0.941663662,1.296497691,1.164712044
11_06,11,11,0.980622403,1.024867237,1.300210238,1.225471419
11_07,11,11,1.005053378,0.900948732,1.502601072,1.302353847
11_08,11,11,1.011710893,1.011349879,1.017711011,1.025415135
17_01,17,17,1.002940298,1.250888396,2.150001826,1.397403026
17_02,17,17,0.980125468,1.114471628,1.51479445,1.307049893
17_03,17,17,0.932705437,0.958768998,1.760392888,1.367232775
17_04,17,17,0.9955261,0.962853988,1.058622738,1.141750818
17_05,17,17,0.83817015,0.996426889,1.838911144,1.417837796
17_06,17,17,0.716985084,1.046511626,0.987261079,1.029600449
23_01,23,23,0.924864979,1.116729445,0.889427305,0.9464676
23_02,23,23,0.969653494,0.983457187,0.857061469,0.943384268
23_03,23,23,1.019403833,0.96666995,1.138031842,1.087084754
23_04,23,23,0.983527937,0.915681639,0.967403139,0.919119002
23_05,23,23,0.969249216,0.979050207,0.921855999,0.959239843
23_06,23,23,1.179308478,1.117472396,1.154056006,1.031578216
23_07,23,23,0.962773447,0.967306978,1.0268835,1.013312184
23_08,23,23,0.971187203,0.922464772,1.053909837,1.072076307
23_09,23,23,1.020031413,1.031167426,0.991370904,1.027737826
37_01,37,37,0.934761439,0.981390611,1.132218597,1.165420058
37_02,37,37,0.931436297,0.99488786,0.975780048,1.030421391
37_03,37,37,0.943436581,1.107477064,1.060278799,1.072823044
37_04,37,37,0.95052807,0.88775626,0.945061697,1.051854598
37_05,37,37,1.025982672,1.164198213,0.944940626,0.92596451
37_06,37,37,0.858139513,0.807709027,0.880341824,0.856772926
37_07,37,37,0.95620724,1.048085494,0.931301548,0.988794963
42_01,42,42,0.889875639,1.022731066,1.085371295,1.065629371
42_02,42,42,0.987722087,1.07691031,1.041392106,0.966532626
42_03,42,42,0.97937727,1.126687704,1.154141598,1.225140227
42_04,42,42,0.862719236,0.919781359,1.01190461,0.8998959
42_05,42,42,0.977919924,1.082061068,1.141151775,1.101003161
42_06,42,42,0.895027984,1.054499964,1.117066007,1.161612506
42_07,42,42,0.859269523,0.810278489,0.928387884,0.813297352
42_08,42,42,0.894193782,1.245262721,0.874250012,0.925234234
42_09,42,42,0.894827822,0.755740514,0.930704293,0.843313565
45_01,45,45,1.048262675,1.130044142,1.01084549,1.021046954
45_02,45,45,0.941786496,1.058669113,0.915288475,1.003294128
45_03,45,45,1.144478322,1.112872852,1.02056284,1.166936222
45_05,45,45,1.096858033,1.184709308,0.967438068,0.957372359
45_06,45,45,1.239707525,1.180964761,1.029838858,1.111236581
45_07,45,45,1.134886541,1.135242566,0.962631865,1.022175632
50_01,50,50,1.096008018,1.252831174,1.274608282,1.253355058
50_02,50,50,0.985567162,1.122031723,1.239539378,1.035707151
50_03,50,50,1.102692723,1.528991272,1.129339627,1.07288292
50_04,50,50,1.056305899,1.066263385,1.0632399,1.132266438
50_05,50,50,0.918983237,0.984801334,1.509369752,1.232422775
51_01,51,51,0.685291142,0.830320792,1.672588702,1.260080218
51_03,51,51,0.923955089,0.928519104,1.374229493,1.167837339
51_04,51,51,0.852626856,0.877401368,1.609868909,1.16253742
51_05,51,51,0.873091323,0.953224256,1.503053733,1.028707434
56_01,56,56,1.023365329,1.020559312,0.822633167,0.711091773
56_02,56,56,0.860079332,0.820569413,1.516004694,1.014801906
56_03,56,56,0.924464076,1.031127622,0.889489532,0.885117317
56_04,56,56,0.88175316,0.711082763,1.322842282,1.224195354
56_05,56,56,0.962217506,0.943823086,0.944924577,0.827984076
