Sample,Genotype,x_axis,Endodermis_TRITC_thresholded_raw_mean,Endodermis_FITC_thresholded_raw_mean,Exodermis_TRITC_thresholded_raw_mean,Exodermis_FITC_thresholded_raw_mean
Experiment_1_Control_16,Teshale,Control,0.905124589,0.790696016,1.144814151,1.084716008
Experiment_1_Control_17,Teshale,Control,0.981414084,0.537426251,1.193210394,0.846065282
Experiment_1_Control_18,Teshale,Control,1.040152533,1.056668069,1.098255318,1.027807697
Experiment_1_Control_19,Teshale,Control,0.958882586,1.359541195,1.116801104,1.132071648
Experiment_1_Control_20,Teshale,Control,1.071720096,1.201290406,0.950378688,0.926446931
Experiment_1_Control_21,Teshale,Control,0.907875654,0.784047671,0.723749003,0.895116356
Experiment_1_Control_22,Teshale,Control,0.957047615,1.031891768,0.871408291,0.915802924
Experiment_1_Control_23,Teshale,Control,1.151232663,0.93055166,0.938386418,0.878444632
Experiment_1_Control_24,Teshale,Control,1.008487309,1.180169538,0.775835933,0.989410129
Experiment_1_Control_25,Teshale,Control,1.087604468,1.161540919,0.886938581,1.009222361
Experiment_1_Control_26,Teshale,Control,1.014631432,1.028391631,1.288972269,1.373009018
Experiment_1_Control_27,Teshale,Control,0.972043511,1.312694785,1.301842256,1.201399809
Experiment_1_Control_28,Teshale,Control,0.94391103,1.219362627,0.741974191,0.939714901
Experiment_1_Control_29,Teshale,Control,0.967479232,0.838909072,0.945725,0.988040675
Experiment_1_Control_30,Teshale,Control,1.032393198,0.566818394,1.021708404,0.792731629
Experiment_1_PMB14_01,Teshale,PMB14,0.769569202,1.261767915,0.8365291,0.963872229
Experiment_1_PMB14_02,Teshale,PMB14,0.776239476,1.713381629,0.898452848,1.023394931
Experiment_1_PMB14_04,Teshale,PMB14,1.195106554,1.828706937,1.5786625,2.16266339
Experiment_1_PMB14_05,Teshale,PMB14,0.801642401,0.91196602,1.271629988,1.383590583
Experiment_1_PMB14_06,Teshale,PMB14,0.999455317,1.99979742,0.928767544,1.291872543
Experiment_1_PMB14_07,Teshale,PMB14,0.831265561,1.351241072,0.905861972,0.963929001
Experiment_1_PMB14_08,Teshale,PMB14,0.868891907,1.693908887,0.999889017,1.613154376
Experiment_1_PMB14_09,Teshale,PMB14,1.080974331,1.67286011,1.073461423,1.145320032
Experiment_1_PMB14_10,Teshale,PMB14,1.331165937,1.373517079,1.710321842,1.92594277
Experiment_1_PMB14_11,Teshale,PMB14,1.692967997,2.134220092,1.863177572,2.042756315
Experiment_1_PMB14_13,Teshale,PMB14,0.768910669,1.769354713,0.686642014,1.217297634
Experiment_1_PMB14_15,Teshale,PMB14,0.794807556,2.021670949,0.977586815,1.16453693
Experiment_1_PMB14_16,Teshale,PMB14,0.570720674,1.586056305,0.618177309,0.813977229
Experiment_1_PMB14_19,Teshale,PMB14,0.602609432,1.455898075,0.434490788,0.578326334
Experiment_1_PMB14_20,Teshale,PMB14,0.600493702,1.510439622,0.60606144,0.75133007
Experiment_1_PMB14_21,Teshale,PMB14,0.668479083,1.627829295,0.547821912,0.809100567
Experiment_1_PMB14_23,Teshale,PMB14,0.651101649,1.999892694,0.730625676,1.133174324
Experiment_1_PMB14_25,Teshale,PMB14,0.941350614,1.655826899,1.487015693,2.087170848
Experiment_4_Control_01,Teshale,Control,0.966640032,0.866730685,0.896018367,0.739119657
Experiment_4_Control_03,Teshale,Control,0.794007845,0.976081228,0.831788111,0.818134102
Experiment_4_Control_04,Teshale,Control,0.761321911,0.694149536,0.784106708,0.920620759
Experiment_4_Control_05,Teshale,Control,1.180548006,1.170683557,1.037141618,1.347711093
Experiment_4_Control_06,Teshale,Control,0.8850643,0.844122408,0.819399601,0.897396511
Experiment_4_Control_07,Teshale,Control,0.945471035,1.064836542,0.990907646,0.759032724
Experiment_4_Control_08,Teshale,Control,0.895224871,1.012561609,0.881927841,0.980299605
Experiment_4_Control_09,Teshale,Control,1.319761167,1.150723869,1.044896734,1.688931306
Experiment_4_Control_10,Teshale,Control,0.947202977,0.711318175,0.780619187,0.626414225
Experiment_4_Control_11,Teshale,Control,0.90421053,1.150480833,0.868129367,0.857837114
Experiment_4_Control_12,Teshale,Control,1.144160437,1.279537333,0.958353251,1.678461694
Experiment_4_Control_13,Teshale,Control,1.022712632,1.401844192,0.895316474,1.505811745
Experiment_4_Control_14,Teshale,Control,1.017761225,1.307001924,0.922423974,1.067719993
Experiment_4_Control_15,Teshale,Control,1.399505089,1.504936739,1.404245588,1.5057436
Experiment_4_Control_16,Teshale,Control,0.800388088,1.060633296,0.85469289,1.078756921
Experiment_4_Control_17,Teshale,Control,1.188878379,1.092128294,1.109500076,0.794235454
Experiment_4_Control_18,Teshale,Control,0.981958639,1.067916465,0.817355392,0.767618994
Experiment_4_Control_19,Teshale,Control,0.87538034,1.295639813,0.931336607,1.116081731
Experiment_4_Control_20,Teshale,Control,0.675410154,0.849617142,0.698197471,0.723723373
Experiment_4_Control_21,Teshale,Control,0.731681658,0.910690354,0.827694147,0.624121367
Experiment_4_Control_22,Teshale,Control,0.927621593,1.168944465,0.860359993,1.328180099
Experiment_4_Control_23,Teshale,Control,1.161900229,1.409329322,0.940860435,0.765983755
Experiment_4_Control_24,Teshale,Control,1.604825822,1.243775274,1.775397896,0.970081619
Experiment_4_Control_25,Teshale,Control,0.829844054,1.153628256,0.815586125,1.343827683
Experiment_4_Control_26,Teshale,Control,1.300872305,0.878386254,1.060054238,0.7388118
Experiment_4_Control_27,Teshale,Control,0.894707356,0.59722461,0.82479485,0.723793928
Experiment_4_Control_28,Teshale,Control,1.24078696,0.696049198,1.297414551,0.915169559
Experiment_4_Control_29,Teshale,Control,0.59479048,0.791825275,1.47626209,1.022681489
Experiment_4_Control_30,Teshale,Control,0.520076159,1.021442399,1.331628505,1.043212679
Experiment_4_Control_31,Teshale,Control,0.992369744,0.561546185,0.896460604,0.706715631
Experiment_4_Control_32,Teshale,Control,1.374139283,0.62419913,1.427670469,0.908671435
Experiment_4_Control_33,Teshale,Control,1.413877475,0.829461605,1.261193697,1.043465788
Experiment_4_Control_34,Teshale,Control,0.706899223,0.612554031,0.678265498,0.991632568
Experiment_4_PDB161_01,Teshale,PDB161,1.762402661,0.823669638,1.490125358,1.380698195
Experiment_4_PDB161_02,Teshale,PDB161,1.259767188,1.216076095,1.34836097,1.603654832
Experiment_4_PDB161_03,Teshale,PDB161,1.675933486,1.451473951,1.493152027,1.977196833
Experiment_4_PDB161_04,Teshale,PDB161,1.494139023,1.221509441,1.335895308,1.626976985
Experiment_4_PDB161_05,Teshale,PDB161,1.44456693,1.201924014,1.190893707,1.798804563
Experiment_4_PDB161_06,Teshale,PDB161,1.634125456,1.269014972,1.534035267,1.309780306
Experiment_4_PDB161_07,Teshale,PDB161,1.621680081,1.500673723,1.457729941,1.335760842
Experiment_4_PDB161_08,Teshale,PDB161,1.5126901,1.137506002,1.326426531,2.327851879
