Sample,System,Genotype,Plant,aerenchyma_ratio,Endodermis_TRITC_thresholded_raw_mean,Endodermis_FITC_thresholded_raw_mean,Exodermis_TRITC_thresholded_raw_mean,Exodermis_FITC_thresholded_raw_mean,Endodermis_FITC_threshold_min,Endodermis_FITC_threshold_max,Endodermis_TRITC_threshold_min,Endodermis_TRITC_threshold_max,Exodermis_FITC_threshold_min,Exodermis_FITC_threshold_max,Exodermis_TRITC_threshold_min,Exodermis_TRITC_threshold_max
Falcon_WT_1,Falcon,WT,1,0.171205413,3813.703125,2073.518921,3265.142212,1351.30014,600,65535,1000,65535,256,65535,1589,65535
Falcon_WT_2,Falcon,WT,2,0.41920175,6062.931397,4965.503255,3010.23409,2528.964132,600,65535,1000,65535,256,65535,1589,65535
Falcon_WT_3,Falcon,WT,3,0.246606804,4196.756885,2493.581543,2934.065137,1056.627612,600,65535,1000,65535,256,65535,1589,65535
Falcon_WT_4,Falcon,WT,4,0.318865061,3157.008423,3606.732137,2972.227092,2082.936096,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-15_1,Falcon,Wox10-15,1,0.303331524,6483.489648,3942.968506,2864.415772,1199.072864,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-15_2,Falcon,Wox10-15,2,0.298026234,5666.977824,3690.18986,2951.015503,1803.360046,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-15_3,Falcon,Wox10-15,3,0.216516724,4208.697998,3604.991455,3074.590506,2847.790161,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-15_4,Falcon,Wox10-15,4,0.467243093,6851.897852,4448.345361,3383.51831,1934.467554,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-50_1,Falcon,Wox10-50,1,0.36740288,8449.802929,6204.70166,2681.497705,1610.241455,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-50_2,Falcon,Wox10-50,2,0.31942766,5128.886475,2966.760193,2804.313843,1280.117996,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-50_3,Falcon,Wox10-50,3,0.411257819,6162.277972,4671.63637,3353.057582,1820.677473,600,65535,1000,65535,256,65535,1589,65535
Falcon_Wox10-50_4,Falcon,Wox10-50,4,0.200637719,4862.886133,2088.620434,4085.753955,1449.016235,600,65535,1000,65535,256,65535,1589,65535
Pouch_WT_1,Pouch,WT,1,0.055844073,6614.800619,7914.099691,6154.749512,7419.892008,600,65535,1000,65535,256,65535,1589,65535
Pouch_WT_2,Pouch,WT,2,0.101374394,3700.196045,3859.300488,3152.312012,2818.428906,600,65535,1000,65535,256,65535,1589,65535
Pouch_WT_3,Pouch,WT,3,0.317885244,6383.295248,5366.823486,4527.059001,3729.441284,600,65535,1000,65535,256,65535,1589,65535
Pouch_WT_4,Pouch,WT,4,0.220929,6197.695069,7949.656371,4928.285095,5025.014649,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-15_1,Pouch,Wox10-15,1,0.027305687,4288.947217,4691.678418,3547.234277,3855.979687,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-15_2,Pouch,Wox10-15,2,0.186637327,3746.550741,3621.322103,3419.702311,2980.866211,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-15_3,Pouch,Wox10-15,3,0.201876791,4605.732764,3779.049756,3279.630762,2335.368555,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-50_1,Pouch,Wox10-50,1,0.283800357,7375.630615,7147.511556,6756.873535,6524.629395,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-50_2,Pouch,Wox10-50,2,0.194067082,5487.605273,3736.765723,3531.683203,2646.385791,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-50_3,Pouch,Wox10-50,3,0.271982925,7842.809473,4486.395654,3469.882568,2044.00227,600,65535,1000,65535,256,65535,1589,65535
Pouch_Wox10-50_4,Pouch,Wox10-50,4,0.007986761,3307.476772,2825.607596,2750.904332,1412.270987,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_WT_1,Rhizotron,WT,1,0.199322713,8167.948312,7871.182896,7203.334752,8541.339425,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_WT_2,Rhizotron,WT,2,0.288908869,10453.41943,6121.270589,5031.390706,4251.3337,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_WT_3,Rhizotron,WT,3,0.311246341,8534.412528,5481.016288,6254.882115,4167.396624,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_WT_4,Rhizotron,WT,4,0.157896792,10959.06628,6997.640015,7377.341248,5220.812042,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-15_1,Rhizotron,Wox10-15,1,0.124695942,9611.710611,7561.560791,8306.078288,5500.229696,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-15_2,Rhizotron,Wox10-15,2,0.012799133,2756.931592,2030.918457,3209.948096,2862.711328,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-15_3,Rhizotron,Wox10-15,3,0.125566573,7998.779994,7729.470773,7584.547084,7155.009556,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-15_4,Rhizotron,Wox10-15,4,0.178960482,10477.91195,7555.640788,8806.815674,7762.645996,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-15_5,Rhizotron,Wox10-15,5,0.017521905,6610.554966,5916.013811,6525.240304,5481.87357,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-50_1,Rhizotron,Wox10-50,1,0.085503486,8103.987444,10447.08692,3788.209891,7230.766811,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-50_2,Rhizotron,Wox10-50,2,0.008330105,4153.917938,2396.098999,3519.09259,1297.232517,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-50_3,Rhizotron,Wox10-50,3,0.06486302,10545.03589,11440.88232,4967.261932,7481.271972,600,65535,1000,65535,256,65535,1589,65535
Rhizotron_Wox10-50_4,Rhizotron,Wox10-50,4,0.307407747,8835.314733,5828.320592,6482.213239,5816.971122,600,65535,1000,65535,256,65535,1589,65535
