uid,species,genotype,split
Millet_Olympus_Exp1_1-2cm_29,Millet,AW23,train
Millet_Olympus_Exp1_1-2cm_39,Millet,AW23,train
Millet_Olympus_Exp1_1-2cm_53,Millet,AW23,train
Millet_Olympus_Exp1_1-2cm_55,Millet,AW23,train
Millet_Olympus_Exp1_1-2cm_63,Millet,AW23,train
Millet_Olympus_Exp1_1-2cm_80,Millet,AW23,train
Millet_Olympus_Exp1_2-3cm_13,Millet,AW23,train
Millet_Olympus_Exp1_2-3cm_20,Millet,AW23,train
Millet_Olympus_Exp1_5-6cm_83,Millet,AW23,train
Millet_Olympus_Exp1_7-8cm__71,Millet,AW23,train
Millet_Olympus_Exp2_3-4cm__07,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_04,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_27,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_41,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_42,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_51,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_67,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_74,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_79,Millet,AW23,test
Millet_Olympus_Exp2_5-6cm_89,Millet,AW23,test
Millet_Olympus_Exp2_7-8cm_17,Millet,AW23,test
Millet_Olympus_Exp2_9-10cm_19,Millet,AW23,test
Millet_Olympus_Exp3_0-1cm_01,Millet,AW23,train
Millet_Olympus_Exp3_0-1cm_05,Millet,AW23,train
Millet_Olympus_Exp3_0-1cm_23,Millet,AW23,train
Millet_Olympus_Exp3_0-1cm_43,Millet,AW23,train
Millet_Olympus_Exp3_0-1cm_50,Millet,AW23,train
Millet_Olympus_Exp3_0-1cm_52,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_21,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_42,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_52,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_59,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_67,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_78,Millet,AW23,train
