model,epoch,train_loss,val_loss
DINOv3 + DPT,0,3.090794,2.752760
DINOv3 + DPT,1,2.621768,2.476317
DINOv3 + DPT,2,2.305447,2.221161
DINOv3 + DPT,3,2.110589,1.947194
DINOv3 + DPT,4,1.841487,1.727758
DINOv3 + DPT,5,1.658308,1.505159
DINOv3 + DPT,6,1.486839,1.341259
DINOv3 + DPT,7,1.346427,1.292011
DINOv3 + DPT,8,1.203036,1.106012
DINOv3 + DPT,9,1.082592,1.027102
DINOv3 + DPT,10,1.041747,0.941080
DINOv3 + DPT,11,0.900348,0.839121
DINOv3 + DPT,12,0.864568,0.803251
DINOv3 + DPT,13,0.792161,0.771617
DINOv3 + DPT,14,0.716384,0.706441
DINOv3 + DPT,15,0.707620,0.680601
DINOv3 + DPT,16,0.682641,0.634463
DINOv3 + DPT,17,0.647344,0.627972
DINOv3 + DPT,18,0.598182,0.586653
DINOv3 + DPT,19,0.568564,0.557107
DINOv3 + DPT,20,0.557656,0.550600
DINOv3 + DPT,21,0.525265,0.522737
DINOv3 + DPT,22,0.515379,0.512242
DINOv3 + DPT,23,0.508079,0.483602
DINOv3 + DPT,24,0.502745,0.465520
DINOv3 + DPT,25,0.480807,0.461003
DINOv3 + DPT,26,0.456733,0.437242
DINOv3 + DPT,27,0.442289,0.432526
DINOv3 + DPT,28,0.425430,0.413727
DINOv3 + DPT,29,0.429780,0.412977
DINOv3 + DPT,30,0.416786,0.407138
DINOv3 + DPT,31,0.427912,0.404670
DINOv3 + DPT,32,0.394364,0.389937
DINOv3 + DPT,33,0.405531,0.395843
DINOv3 + DPT,34,0.408134,0.375756
DINOv3 + DPT,35,0.399531,0.373688
DINOv3 + DPT,36,0.384887,0.367236
DINOv3 + DPT,37,0.405920,0.358319
DINOv3 + DPT,38,0.384264,0.357676
DINOv3 + DPT,39,0.361709,0.356051
DINOv3 + DPT,40,0.397058,0.355119
DINOv3 + DPT,41,0.349283,0.352094
DINOv3 + DPT,42,0.360799,0.341445
DINOv3 + DPT,43,0.353917,0.344064
DINOv3 + DPT,44,0.334974,0.347366
DINOv3 + DPT,45,0.350726,0.344773
DINOv3 + DPT,46,0.364267,0.347707
DINOv3 + DPT,47,0.363535,0.342343
DINOv3 + DPT,48,0.354786,0.338894
DINOv3 + DPT,49,0.359457,0.333488
DINOv3 + DPT,50,0.330450,0.333288
DINOv3 + DPT,51,0.347128,0.321340
DINOv3 + DPT,52,0.320265,0.323978
DINOv3 + DPT,53,0.331245,0.330778
DINOv3 + DPT,54,0.320389,0.324120
DINOv3 + DPT,55,0.321754,0.320507
DINOv3 + DPT,56,0.316414,0.324362
DINOv3 + DPT,57,0.329067,0.319849
DINOv3 + DPT,58,0.320542,0.316463
DINOv3 + DPT,59,0.330840,0.320366
DINOv3 + DPT,60,0.321294,0.312330
DINOv3 + DPT,61,0.325331,0.316829
DINOv3 + DPT,62,0.327895,0.321499
DINOv3 + DPT,63,0.334473,0.317587
DINOv3 + DPT,64,0.335043,0.319833
DINOv3 + DPT,65,0.324684,0.315015
DINOv3 + DPT,66,0.304731,0.315243
DINOv3 + DPT,67,0.332904,0.304487
DINOv3 + DPT,68,0.334373,0.310690
DINOv3 + DPT,69,0.320466,0.312371
DINOv3 + DPT,70,0.304431,0.306718
DINOv3 + DPT,71,0.294747,0.307956
DINOv3 + DPT,72,0.313928,0.308916
DINOv3 + DPT,73,0.294990,0.311148
DINOv3 + DPT,74,0.312410,0.312129
DINOv3 + DPT,75,0.309602,0.305206
DINOv3 + DPT,76,0.288943,0.307630
DINOv3 + DPT,77,0.302652,0.303371
DINOv3 + DPT,78,0.285063,0.306684
DINOv3 + DPT,79,0.287220,0.303762
DINOv3 + DPT,80,0.306281,0.303328
DINOv3 + DPT,81,0.312789,0.307330
DINOv3 + DPT,82,0.300551,0.307964
DINOv3 + DPT,83,0.326314,0.300244
DINOv3 + DPT,84,0.292631,0.298167
DINOv3 + DPT,85,0.294539,0.303640
DINOv3 + DPT,86,0.312928,0.305079
DINOv3 + DPT,87,0.304079,0.306720
DINOv3 + DPT,88,0.283273,0.304470
DINOv3 + DPT,89,0.291921,0.300356
DINOv3 + DPT,90,0.289028,0.300773
DINOv3 + DPT,91,0.287650,0.299054
DINOv3 + DPT,92,0.290523,0.302388
DINOv3 + DPT,93,0.291717,0.302803
DINOv3 + DPT,94,0.286426,0.297678
DINOv3 + DPT,95,0.288465,0.301417
DINOv3 + DPT,96,0.291365,0.297250
DINOv3 + DPT,97,0.279228,0.304306
DINOv3 + DPT,98,0.290243,0.302018
DINOv3 + DPT,99,0.295750,0.302193
DINOv3 + DPT,100,0.289291,0.297374
DINOv3 + DPT,101,0.278759,0.297553
DINOv3 + DPT,102,0.278747,0.303033
DINOv3 + DPT,103,0.277115,0.295824
DINOv3 + DPT,104,0.283241,0.300423
DINOv3 + DPT,105,0.283823,0.297590
DINOv3 + DPT,106,0.299740,0.303162
DINOv3 + DPT,107,0.290576,0.298470
DINOv3 + DPT,108,0.282246,0.301647
DINOv3 + DPT,109,0.259305,0.298006
DINOv3 + DPT,110,0.286440,0.296434
DINOv3 + DPT,111,0.293115,0.311328
DINOv3 + DPT,112,0.273564,0.299280
DINOv3 + DPT,113,0.283957,0.300049
DINOv3 + DPT,114,0.267342,0.297731
DINOv3 + DPT,115,0.289914,0.297730
DINOv3 + DPT,116,0.278209,0.296642
DINOv3 + DPT,117,0.277092,0.294075
DINOv3 + DPT,118,0.269730,0.299711
DINOv3 + DPT,119,0.253699,0.299534
DINOv3 + DPT,120,0.263453,0.298078
DINOv3 + DPT,121,0.261195,0.297301
DINOv3 + DPT,122,0.261407,0.297769
DINOv3 + DPT,123,0.277821,0.300835
DINOv3 + DPT,124,0.255217,0.298836
DINOv3 + DPT,125,0.272754,0.297829
DINOv3 + DPT,126,0.257206,0.303635
DINOv3 + DPT,127,0.264784,0.297028
DINOv3 + DPT,128,0.272181,0.296868
DINOv3 + DPT,129,0.274633,0.298764
DINOv3 + DPT,130,0.254123,0.298120
DINOv3 + DPT,131,0.264073,0.295680
DINOv3 + DPT,132,0.280683,0.297668
DINOv2 + DPT,0,3.109650,3.035197
DINOv2 + DPT,1,2.627219,2.456599
DINOv2 + DPT,2,2.336008,2.170576
DINOv2 + DPT,3,2.042082,1.911685
DINOv2 + DPT,4,1.809520,1.741868
DINOv2 + DPT,5,1.611619,1.514381
DINOv2 + DPT,6,1.474732,1.347005
DINOv2 + DPT,7,1.307770,1.189068
DINOv2 + DPT,8,1.191867,1.117471
DINOv2 + DPT,9,1.100973,0.998557
DINOv2 + DPT,10,1.004375,0.942289
DINOv2 + DPT,11,0.893584,0.857021
DINOv2 + DPT,12,0.829616,0.781946
DINOv2 + DPT,13,0.795449,0.728371
DINOv2 + DPT,14,0.751379,0.682559
DINOv2 + DPT,15,0.697137,0.633471
DINOv2 + DPT,16,0.664978,0.617403
DINOv2 + DPT,17,0.649624,0.573664
DINOv2 + DPT,18,0.606139,0.553943
