microscope,split,sample_id,species,mean_IoU
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_06,Rice,0.5454
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_05,Rice,0.5805
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_01,Rice,0.5894
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_03,Rice,0.6048
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_04,Rice,0.6137
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_02,Rice,0.6605
Olympus,test,Sorghum_Olympus_Exp71_PDB134_04,Sorghum,0.6585
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_04,Rice,0.6655
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_1_05,Rice,0.7098
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_04,Rice,0.7525
Olympus,test,Millet_Olympus_Exp6_5-6cm__54,Millet,0.7571
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_02,Rice,0.7648
Olympus,test,Millet_Olympus_Exp2_5-6cm_79,Millet,0.7668
Olympus,test,Millet_Olympus_Exp4_1-2cm__106,Millet,0.7706
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_2_01,Rice,0.7696
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_3_03,Rice,0.7779
Olympus,test,Sorghum_Olympus_Exp16_2_02,Sorghum,0.7817
Olympus,test,Millet_Olympus_Exp6_5-6cm__48,Millet,0.7820
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_09,Sorghum,0.7831
Olympus,test,Sorghum_Olympus_Exp16_2_04,Sorghum,0.7892
Olympus,test,Millet_Olympus_Exp2_3-4cm__07,Millet,0.7929
Olympus,test,Millet_Olympus_Exp2_5-6cm_51,Millet,0.8024
Olympus,test,Millet_Olympus_Exp4_1-2cm__02,Millet,0.8048
Olympus,test,Millet_Olympus_Exp6_5-6cm__28,Millet,0.8056
Olympus,test,Millet_Olympus_Exp2_5-6cm_42,Millet,0.8062
Olympus,test,Millet_Olympus_Exp2_9-10cm_19,Millet,0.8051
Olympus,test,Sorghum_Olympus_Exp71_PDB134_10,Sorghum,0.8112
Olympus,test,Millet_Olympus_Exp2_7-8cm_17,Millet,0.8125
Olympus,test,Millet_Olympus_Exp4_1-2cm__64,Millet,0.8148
Olympus,test,Millet_Olympus_Exp4_1-2cm__08,Millet,0.8145
Olympus,test,Millet_Olympus_Exp6_5-6cm__80,Millet,0.8158
Olympus,test,Millet_Olympus_Exp6_5-6cm__57,Millet,0.8149
Olympus,test,Millet_Olympus_Exp2_5-6cm_74,Millet,0.8168
Olympus,test,Sorghum_Olympus_Exp16_3_05,Sorghum,0.8193
Olympus,test,Millet_Olympus_Exp4_1-2cm__103,Millet,0.8179
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_04,Rice,0.8194
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_03,Rice,0.8234
C10,test,Rice_C10_Exp7_PSY17-4-b,Rice,0.8223
Olympus,test,Sorghum_Olympus_Exp71_PDB134_01,Sorghum,0.8235
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_05,Rice,0.8305
Olympus,test,Sorghum_Olympus_Exp94_LLC3456_13,Sorghum,0.8321
Olympus,test,Sorghum_Olympus_Exp16_2_01,Sorghum,0.8361
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_05,Rice,0.8354
Olympus,test,Millet_Olympus_Exp4_1-2cm__83,Millet,0.8351
Olympus,test,Millet_Olympus_Exp2_5-6cm_27,Millet,0.8349
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_02,Rice,0.8380
Olympus,test,Rice_Olympus_Exp11_Rhizotron_WT_3_02,Rice,0.8400
C10,test,Sorghum_C10_Exp3_G1,Sorghum,0.8398
Olympus,test,Millet_Olympus_Exp2_5-6cm_41,Millet,0.8403
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_07,Rice,0.8436
Olympus,test,Millet_Olympus_Exp4_1-2cm__37,Millet,0.8422
C10,test,Sorghum_C10_Exp3_G12,Sorghum,0.8461
Olympus,test,Millet_Olympus_Exp2_5-6cm_89,Millet,0.8478
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-50_4_02,Rice,0.8580
C10,test,Sorghum_C10_Exp4_G1,Sorghum,0.8515
Olympus,test,Rice_Olympus_Exp10_Rhizotron_Wox10-15_5_06,Rice,0.8526
Olympus,test,Millet_Olympus_Exp2_5-6cm_04,Millet,0.8567
C10,test,Rice_C10_Exp7_PSY17-4-a,Rice,0.8581
Olympus,test,Millet_Olympus_Exp2_5-6cm_67,Millet,0.8609
Olympus,test,Tomato_Olympus_Exp1_Lignin_mutants_16,Solanum,0.8639
Olympus,test,Millet_Olympus_Exp4_1-2cm__75,Millet,0.8635
